ID,State,StateFull,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,Total,InstitutionNumber,Male,Female,Population
02,AK,Alaska,0,0,0,0,1,1,0,0,0,2,11,15797,22405,38202
01,AL,Alabama,0,3,0,0,1,9,0,6,4,23,29,70948,97728,168676
05,AR,Arkansas,1,27,43,2,12,34,1,18,18,156,30,51827,68732,120559
04,AZ,Arizona,0,10,39,0,9,38,1,22,28,147,30,137943,170103,308046
06,CA,California,15,50,54,27,139,68,13,102,81,549,151,709600,820812,1530412
08,CO,Colorado,0,7,36,3,81,88,2,49,102,368,26,111998,130515,242513
09,CT,Connecticut,0,5,4,1,2,1,3,17,21,54,18,50692,57133,107825
11,DC,District of Columbia,1,3,0,0,3,1,0,2,1,11,9,46557,61766,108323
10,DE,Delaware,0,2,2,0,0,4,0,0,0,8,6,24912,34915,59827
12,FL,Florida,0,36,80,2,36,72,4,37,38,305,81,366709,467211,833920
13,GA,Georgia,3,26,33,2,9,16,3,25,25,142,50,127907,168050,295957
15,HI,Hawaii,0,0,0,0,0,0,0,0,0,0,5,11377,15751,27128
19,IA,Iowa,9,5,25,0,4,14,1,13,17,88,24,86867,116406,203273
16,ID,Idaho,0,12,21,0,19,8,1,7,8,76,14,63233,76891,140124
17,IL,Illinois,0,28,22,5,75,60,6,52,53,301,77,286286,332680,618966
18,IN,Indiana,3,40,87,1,33,86,0,21,31,302,51,281603,360417,642020
20,KS,Kansas,0,28,25,1,14,14,0,68,195,345,39,95840,110261,206101
21,KY,Kentucky,0,4,3,0,11,8,1,3,39,69,31,83852,106471,190323
22,LA,Louisiana,2,11,6,1,2,0,1,0,0,23,17,54445,76571,131016
25,MA,Massachusetts,2,12,43,1,5,4,3,14,13,97,57,141625,184151,325776
24,MD,Maryland,0,13,1,1,9,1,2,3,0,30,37,144641,181801,326442
23,ME,Maine,0,0,2,0,1,2,0,0,0,5,14,20940,27617,48557
26,MI,Michigan,1,22,28,4,36,43,3,17,48,202,63,245629,288855,534484
27,MN,Minnesota,0,6,49,0,3,45,9,40,95,247,29,126150,193319,319469
29,MO,Missouri,2,52,37,4,47,17,0,38,57,254,48,143719,185571,329290
28,MS,Mississippi,1,33,24,2,47,97,4,26,40,274,19,45222,64367,109589
30,MT,Montana,0,2,20,0,4,9,0,0,19,54,7,18053,20096,38149
37,NC,North Carolina,3,44,12,8,53,66,5,40,112,343,74,167549,226526,394075
38,ND,North Dakota,0,1,8,0,6,15,0,10,17,57,8,21099,19931,41030
31,NE,Nebraska,3,36,14,0,15,6,0,0,1,75,13,34038,39244,73282
33,NH,New Hampshire,0,10,43,0,33,132,0,4,40,262,11,36862,50047,86909
34,NJ,New Jersey,9,41,5,4,21,4,1,31,7,123,31,118756,138341,257097
35,NM,New Mexico,0,9,1,0,1,0,0,3,0,14,10,29793,39052,68845
32,NV,Nevada,0,2,1,0,0,4,0,0,2,9,5,48013,57265,105278
36,NY,New York,1,17,7,0,15,1,2,10,4,57,122,348544,432137,780681
39,OH,Ohio,22,127,61,8,119,62,5,46,36,486,73,228099,275107,503206
40,OK,Oklahoma,3,15,12,0,4,3,0,6,4,47,26,67596,81489,149085
41,OR,Oregon,4,51,258,8,41,115,5,71,102,655,23,79127,94760,173887
42,PA,Pennsylvania,0,29,118,2,31,90,1,28,94,393,104,247569,304316,551885
72,PR,Puerto Rico,0,0,0,0,0,0,0,0,0,0,18,33210,44172,77382
44,RI,Rhode Island,0,2,0,0,2,0,0,1,0,5,6,14641,19100,33741
45,SC,South Carolina,3,17,10,1,19,4,2,11,4,71,31,71791,92106,163897
46,SD,South Dakota,1,6,6,0,2,0,0,2,6,23,7,17121,20767,37888
47,TN,Tennessee,3,2,16,7,31,8,6,11,2,86,42,118010,147793,265803
48,TX,Texas,6,138,75,3,103,40,4,64,49,482,113,661351,811812,1473163
49,UT,Utah,0,6,16,1,3,5,0,1,12,44,10,66572,65275,131847
51,VA,Virginia,22,151,35,16,111,59,30,150,46,620,59,392800,464279,857079
50,VT,Vermont,0,1,4,0,0,0,0,1,0,6,14,16295,16696,32991
53,WA,Washington,2,9,44,1,3,57,0,1,23,140,31,116258,138101,254359
55,WI,Wisconsin,1,36,101,5,55,53,29,50,24,354,32,115016,140787,255803
54,WV,West Virginia,0,0,10,0,2,17,0,0,6,35,19,35014,40017,75031
56,WY,Wyoming,0,60,10,0,51,4,0,13,0,138,9,17948,17736,35684
