INSTNM,BRANCH,State,Sector_desc,men_total,women_total
Alabama A & M University,Main Campus,AL,"Public, 2",2379,2954
Alabama State University,Main Campus,AL,"Public, 2",2089,3430
The University of Alabama,Main Campus,AL,"Public, 2",16231,19816
Central Alabama Community College,Alexander City Campus,AL,"Public, 1",701,1025
Central Alabama Community College,Childersburg Campus,AL,"Public, 1",701,1025
Auburn University at Montgomery,Auburn University Montgomery,AL,"Public, 2",1824,3233
Auburn University,Main Campus,AL,"Public, 2",13114,12798
James H Faulkner State Community College,Main Campus,AL,"Public, 1",1645,2836
Faulkner University,Main Campus,AL,"Private nonprofit, 2",1333,2002
Huntingdon College,Main Campus,AL,"Private nonprofit, 2",588,572
J F Drake State Community and Technical College,Main Campus,AL,"Public, 1",456,606
Jacksonville State University,Main Campus,AL,"Public, 2",3681,4978
Judson College,Main Campus,AL,"Private nonprofit, 2",12,366
University of West Alabama,University of West Alabama,AL,"Public, 2",1188,2801
Miles College,Miles College,AL,"Private nonprofit, 2",911,871
University of Montevallo,University of Montevallo,AL,"Public, 2",1002,2068
University of North Alabama,Main Campus,AL,"Public, 2",2872,3969
Northeast Alabama Community College,Northeast Alabama Community College,AL,"Public, 1",1065,1643
Oakwood University,Oakwood University,AL,"Private nonprofit, 2",836,1103
Reid State Technical College,Main Campus,AL,"Public, 1",216,333
Samford University,Main Campus,AL,"Private nonprofit, 2",1851,3082
Selma University,Selma University,AL,"Private nonprofit, 2",214,344
Snead State Community College,Main Campus,AL,"Public, 1",892,1366
University of South Alabama,Main Campus,AL,"Public, 2",6105,9700
Spring Hill College,Spring Hill College,AL,"Private nonprofit, 2",556,820
H Councill Trenholm State Technical College,Main Campus - Trenholm Campus,AL,"Public, 1",673,665
Troy University,Troy Campus,AL,"Public, 2",7093,11948
Bevill State Community College,Bevill State Community College Main Campus,AL,"Public, 1",1366,2243
University of Alaska Anchorage,Anchorage Campus,AK,"Public, 2",7142,10009
University of Alaska Anchorage,Matanuska-Susitna College,AK,"Public, 2",7142,10009
University of Alaska Anchorage,Kenai Peninsula College - Kenai River Campus,AK,"Public, 2",7142,10009
University of Alaska Anchorage,Kenai Peninsula College - Kachemak Bay Campus,AK,"Public, 2",7142,10009
University of Alaska Anchorage,Kodiak College,AK,"Public, 2",7142,10009
University of Alaska Anchorage,Chugiak-Eagle River Campus,AK,"Public, 2",7142,10009
University of Alaska Fairbanks,University of Alaska Fairbanks,AK,"Public, 2",3655,4965
University of Alaska Fairbanks,Community and Technical College,AK,"Public, 2",3655,4965
University of Alaska Southeast,Main Campus/Auke Bay,AK,"Public, 2",1044,1945
Alaska Pacific University,Main Campus,AK,"Private nonprofit, 2",195,384
American Indian College Inc,Main Campus,AZ,"Private nonprofit, 2",42,49
Arizona State University-Tempe,Tempe Campus,AZ,"Public, 2",28706,21614
Arizona State University-Tempe,Downtown Phoenix Campus,AZ,"Public, 2",28706,21614
University of Arizona,Main Campus,AZ,"Public, 2",20345,21891
Central Arizona College,Main Campus-Signal Peak,AZ,"Public, 1",2194,3743
Brown Mackie College-Tucson,Brown Mackie College - Tucson,AZ,"Private for-profit, 2",233,378
Grand Canyon University,Grand Canyon University,AZ,"Private for-profit, 2",15657,46647
Mesa Community College,Mesa Community College,AZ,"Public, 1",11197,11514
Mohave Community College,Neal Campus - Kingman,AZ,"Public, 1",1690,3054
Mohave Community College,Lake Havasu City Campus,AZ,"Public, 1",1690,3054
Northern Arizona University,Flagstaff Mountain Campus,AZ,"Public, 2",11389,16316
Northland Pioneer College,Main Campus - Painted Desert - PDC,AZ,"Public, 1",1289,1922
Northland Pioneer College,Little Colorado Campus - LCC,AZ,"Public, 1",1289,1922
Northland Pioneer College,Silver Creek Campus - SCC,AZ,"Public, 1",1289,1922
Northland Pioneer College,White Mountain Campus - WMC,AZ,"Public, 1",1289,1922
Northland Pioneer College,Hopi Center,AZ,"Public, 1",1289,1922
Northland Pioneer College,Kayenta Center,AZ,"Public, 1",1289,1922
Northland Pioneer College,Springerville/Eagar Center,AZ,"Public, 1",1289,1922
Northland Pioneer College,St. Johns Center,AZ,"Public, 1",1289,1922
Northland Pioneer College,Whiteriver Center,AZ,"Public, 1",1289,1922
Ottawa University-Phoenix,Ottawa University-Phoenix,AZ,"Private nonprofit, 2",178,484
Prescott College,Prescott College,AZ,"Private nonprofit, 2",280,568
Refrigeration School Inc,Main Campus,AZ,"Private for-profit, 1",677,18
Scottsdale Community College,Main Campus,AZ,"Public, 1",4623,5240
South Mountain Community College,SOUTH MOUNTAIN COMMUNITY COLLEGE,AZ,"Public, 1",1749,2538
University of Arkansas at Little Rock,"University of Arkansas, Little Rock",AR,"Public, 2",4713,6932
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,AR,"Public, 2",1008,1882
Arkansas Baptist College,Arkansas Baptist College,AR,"Private nonprofit, 2",601,298
Lyon College,Main Campus,AR,"Private nonprofit, 2",374,338
University of Arkansas,Main Campus,AR,"Public, 2",12842,13395
Arkansas State University-Main Campus,Arkansas State University-Jonesboro,AR,"Public, 2",5347,7797
Arkansas Tech University,Main Campus,AR,"Public, 2",5313,6689
Arkansas Tech University,Arkansas Tech University - Ozark Campus,AR,"Public, 2",5313,6689
University of Arkansas at Monticello,University of Arkansas at Monticello,AR,"Public, 2",1552,2302
University of Arkansas at Monticello,Crossett COT,AR,"Public, 2",1552,2302
University of Arkansas at Monticello,McGehee COT,AR,"Public, 2",1552,2302
Baptist Health Schools-Little Rock,Main Campus,AR,"Private nonprofit, 1",92,710
University of Central Arkansas,Main Campus,AR,"Public, 2",4552,7146
Central Baptist College,Main Campus,AR,"Private nonprofit, 2",456,402
Crowley's Ridge College,Main Campus,AR,"Private nonprofit, 2",118,106
East Arkansas Community College,East Arkansas Community College,AR,"Public, 1",442,826
Henderson State University,Henderson State University,AR,"Public, 2",1567,2060
John Brown University,Main Campus,AR,"Private nonprofit, 2",1196,1654
University of the Ozarks,Main Campus,AR,"Private nonprofit, 2",281,306
University of Arkansas Community College-Morrilton,Main Campus,AR,"Public, 1",789,1206
Philander Smith College,Philander Smith College,AR,"Private nonprofit, 2",204,363
Phillips Community College of the University of Arkansas,Main Campus,AR,"Public, 1",673,1123
Phillips Community College of the University of Arkansas,"Phillips Comm Coll, Stuttgart, AR",AR,"Public, 1",673,1123
