ID,State,StateFull,PrivateNonProfit4YM,Public2Y,Public4YM,PrivateForProfit4YM,PrivateNonProfit2Y,PrivateForProfit2Y,Public2YL,PrivateForProfit2YL,PrivateNonProfit2YL
2,AK,Alaska,1,1,8,0,0,0,0,0,0
1,AL,Alabama,7,9,11,1,0,0,0,0,0
5,AR,Arkansas,8,6,11,0,1,0,0,0,0
4,AZ,Arizona,5,16,3,3,0,1,1,0,0
6,CA,California,55,51,22,12,0,3,2,2,1
8,CO,Colorado,4,9,11,1,0,0,0,0,0
9,CT,Connecticut,10,4,2,0,0,0,0,1,1
11,DC,District of Columbia,4,0,1,0,0,0,0,0,0
10,DE,Delaware,4,0,2,0,0,0,0,0,0
12,FL,Florida,20,7,39,4,1,2,0,1,0
13,GA,Georgia,12,20,12,0,0,0,0,0,0
15,HI,Hawaii,1,0,2,1,0,0,0,1,0
19,IA,Iowa,9,10,3,1,1,0,0,0,0
16,ID,Idaho,2,3,9,0,0,0,0,0,0
17,IL,Illinois,35,20,15,2,1,1,0,2,1
18,IN,Indiana,18,11,16,4,0,0,0,0,0
20,KS,Kansas,10,15,11,2,1,0,0,0,0
21,KY,Kentucky,14,7,9,1,0,0,0,0,0
22,LA,Louisiana,6,1,10,0,0,0,0,0,0
25,MA,Massachusetts,35,7,13,1,0,0,0,1,0
24,MD,Maryland,13,17,8,0,0,0,0,0,0
23,ME,Maine,5,1,7,0,0,0,0,1,0
26,MI,Michigan,23,20,19,1,0,0,0,0,0
27,MN,Minnesota,11,5,9,3,0,0,0,0,0
29,MO,Missouri,22,10,11,1,1,1,1,0,0
28,MS,Mississippi,2,9,6,0,0,0,0,2,0
30,MT,Montana,2,2,3,0,0,0,0,0,0
37,NC,North Carolina,19,34,16,4,0,0,0,0,1
38,ND,North Dakota,3,1,4,0,0,0,0,0,0
31,NE,Nebraska,5,2,5,0,1,0,0,0,0
33,NH,New Hampshire,5,3,3,0,0,0,0,0,0
34,NJ,New Jersey,6,13,8,2,0,1,1,0,0
35,NM,New Mexico,2,5,3,0,0,0,0,0,0
32,NV,Nevada,0,0,4,1,0,0,0,0,0
36,NY,New York,60,17,26,5,3,1,7,1,1
39,OH,Ohio,29,14,19,4,3,2,0,2,0
40,OK,Oklahoma,7,11,8,0,0,0,0,0,0
41,OR,Oregon,7,10,5,1,0,0,0,0,0
42,PA,Pennsylvania,55,12,28,1,5,3,0,0,0
72,PR,Puerto Rico,13,0,5,0,0,0,0,0,0
44,RI,Rhode Island,6,0,0,0,0,0,0,0,0
45,SC,South Carolina,14,6,9,2,0,0,0,0,0
46,SD,South Dakota,1,0,6,0,0,0,0,0,0
47,TN,Tennessee,14,15,9,1,1,0,0,1,0
48,TX,Texas,20,42,46,4,1,0,0,0,0
49,UT,Utah,2,0,6,2,0,0,0,0,0
51,VA,Virginia,16,26,16,1,0,0,0,0,0
50,VT,Vermont,10,0,4,0,0,0,0,0,0
53,WA,Wahington,6,9,14,1,1,0,0,0,0
55,WI,Wisconsin,10,9,12,1,0,0,0,0,0
54,WV,West Virginia,3,3,11,0,0,1,0,0,1
56,WY,Wyoming,0,6,1,0,0,2,0,0,0
